"number","date","site","winner","loser","winnerScore","loserScore"
1,1967-01-15,"Los Angeles Memorial Coliseum","Green Bay","Kansas City",35,10
2,1968-01-14,"Orange Bowl (Miami)","Green Bay","Oakland",33,14
3,1969-01-12,"Orange Bowl (Miami)","New York Jets","Baltimore",16,7
4,1970-01-11,"Tulane Stadium (New Orleans)","Kansas City","Minnesota",23,7
5,1971-01-17,"Orange Bowl (Miami)","Baltimore","Dallas",16,13
6,1972-01-16,"Tulane Stadium (New Orleans)","Dallas","Miami",24,3
7,1973-01-14,"Los Angeles Memorial Coliseum","Miami","Washington",14,7
8,1974-01-13,"Rice Stadium (Houston)","Miami","Minnesota",24,7
9,1975-01-12,"Tulane Stadium (New Orleans)","Pittsburgh","Minnesota",16,6
10,1976-01-18,"Orange Bowl (Miami)","Pittsburgh","Dallas",21,17
11,1977-01-09,"Rose Bowl (Pasadena, Calif.)","Oakland","Minnesota",32,14
12,1978-01-15,"Superdome (New Orleans)","Dallas","Denver",27,10
13,1979-01-21,"Orange Bowl (Miami)","Pittsburgh","Dallas",35,31
14,1980-01-20,"Rose Bowl (Pasadena, Calif.)","Pittsburgh","Los Angeles Rams",31,19
15,1981-01-25,"Superdome (New Orleans)","Oakland","Philadelphia",27,10
16,1982-01-24,"Silverdome (Pontiac, Mich.)","San Francisco","Cincinnati",26,21
17,1983-01-30,"Rose Bowl (Pasadena, Calif.)","Washington","Miami",27,17
18,1984-01-22,"Tampa (Fla.) Stadium","Los Angeles Raiders","Washington",38,9
19,1985-01-20,"Stanford (Calif.) Stadium","San Francisco","Miami",38,16
20,1986-01-26,"Superdome (New Orleans)","Chicago","New England",46,10
21,1987-01-25,"Rose Bowl (Pasadena, Calif.)","New York Giants","Denver",39,20
22,1988-01-31,"Jack Murphy Stadium (San Diego)","Washington","Denver",42,10
23,1989-01-22,"Joe Robbie Stadium (Miami)","San Francisco","Cincinnati",20,16
24,1990-01-28,"Superdome (New Orleans)","San Francisco","Denver",55,10
25,1991-01-27,"Tampa (Fla.) Stadium","New York Giants","Buffalo",20,19
26,1992-01-26,"Metrodome (Minneapolis)","Washington","Buffalo",37,24
27,1993-01-31,"Rose Bowl (Pasadena, Calif.)","Dallas","Buffalo",52,17
28,1994-01-30,"Georgia Dome (Atlanta)","Dallas","Buffalo",30,13
29,1995-01-29,"Joe Robbie Stadium (Miami)","San Francisco","San Diego",49,26
30,1996-01-28,"Sun Devil Stadium (Tempe, Ariz.)","Dallas","Pittsburgh",27,17
31,1997-01-26,"Superdome (New Orleans)","Green Bay","New England",35,21
32,1998-01-25,"Qualcomm Stadium (San Diego)","Denver","Green Bay",31,24
33,1999-01-31,"Pro Player Stadium (Miami)","Denver","Atlanta",34,19
34,2000-01-30,"Georgia Dome (Atlanta)","St. Louis","Tennessee",23,16
35,2001-01-28,"Raymond James Stadium (Tampa, Fla.)","Baltimore","New York Giants",34,7
36,NA,"Superdome (New Orleans)","New England","St. Louis",20,17
37,2003-01-26,"Qualcomm Stadium (San Diego)","Tampa Bay","Oakland",48,21
38,NA,"Reliant Stadium (Houston)","New England","Carolina",32,29
39,NA,"Alltel Stadium (Jacksonville, Fla.)","New England","Philadelphia",24,21
40,NA,"Ford Field (Detroit)","Pittsburgh","Seattle",21,10
41,NA,"Dolphin Stadium (Miami)","Indianapolis","Chicago",29,17
42,NA,"University of Phoenix Stadium (Glendale, Ariz.)","New York Giants","New England",17,14
43,NA,"Raymond James Stadium (Tampa, Fla.)","Pittsburgh","Arizona",27,23
44,NA,"Sun Life Stadium (Miami)","New Orleans","Indianapolis",31,17
45,NA,"Cowboys Stadium (Arlington, Texas)","Green Bay","Pittsburgh",31,25
46,NA,"Lucas Oil Stadium (Indianapolis)","New York Giants","New England",21,17
47,NA,"Mercedes-Benz Superdome (New Orleans)","Baltimore","San Francisco",34,31
48,NA,"MetLife Stadium (East Rutherford, N.J.)","Seattle","Denver",43,8
49,NA,"University of Phoenix Stadium (Glendale, Ariz.)","New England","Seattle",28,24
50,NA,"Levi's Stadium (Santa Clara, Calif.)","Denver","Carolina",24,10
51,NA,"NRG Stadium (Houston)","New England","Atlanta",34,28
52,NA,"U.S. Bank Stadium (Minneapolis)","Philadelphia","New England",41,33
53,NA,"Mercedes-Benz Stadium (Atlanta)","New England","Los Angeles Rams",13,3
54,NA,"Hard Rock Stadium (Miami)","Kansas City","San Francisco",31,20
55,NA,"Raymond James Stadium (Tampa, Fla.)","Tampa Bay","Kansas City",31,9
